2023-05-18 00:05:44,934 - INFO - ===================Anomaly Detector Start======================
2023-05-18 00:05:45,416 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.392, 'light': 0.0, 'temperature': 29.805, 'humidity': 87.288, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:9:18'}, '养鱼3': None}
2023-05-18 00:05:45,416 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.942, 'light': 0.0, 'temperature': 29.83, 'humidity': 87.196, 'waterTemperature': 23.564, 'timestamp': '2023-05-17 22:9:48'}, '养鱼3': None}
2023-05-18 00:05:45,421 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.5, 'light': 0.0, 'temperature': 29.832, 'humidity': 87.112, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:10:18'}, '养鱼3': None}
2023-05-18 00:05:45,421 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.968, 'light': 0.0, 'temperature': 29.82, 'humidity': 87.04, 'waterTemperature': 22.065, 'timestamp': '2023-05-17 22:10:48'}, '养鱼3': None}
2023-05-18 00:05:45,421 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.168, 'light': 0.0, 'temperature': 29.854, 'humidity': 86.982, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:11:18'}, '养鱼3': None}
2023-05-18 00:05:45,422 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.945, 'light': 0.0, 'temperature': 29.88, 'humidity': 86.89, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:11:48'}, '养鱼3': None}
2023-05-18 00:05:45,422 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.05, 'light': 0.0, 'temperature': 29.898, 'humidity': 86.81, 'waterTemperature': 23.54, 'timestamp': '2023-05-17 22:12:18'}, '养鱼3': None}
2023-05-18 00:05:45,428 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.062, 'light': 0.0, 'temperature': 29.93, 'humidity': 86.724, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:12:48'}, '养鱼3': None}
2023-05-18 00:05:45,428 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.818, 'light': 0.0, 'temperature': 29.934, 'humidity': 86.666, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:13:18'}, '养鱼3': None}
2023-05-18 00:05:45,428 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.575, 'light': 0.0, 'temperature': 29.917, 'humidity': 86.557, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:13:48'}, '养鱼3': None}
2023-05-18 00:05:45,428 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.978, 'humidity': 86.438, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:18'}, '养鱼3': None}
2023-05-18 00:05:45,428 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.035, 'light': 0.0, 'temperature': 29.99, 'humidity': 86.395, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:14:48'}, '养鱼3': None}
2023-05-18 00:05:45,435 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.28, 'light': 0.0, 'temperature': 30.025, 'humidity': 86.295, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:15:18'}, '养鱼3': None}
2023-05-18 00:05:45,435 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.192, 'light': 0.0, 'temperature': 30.022, 'humidity': 86.242, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:15:48'}, '养鱼3': None}
2023-05-18 00:05:45,435 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.195, 'light': 0.0, 'temperature': 30.043, 'humidity': 86.168, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 22:16:18'}, '养鱼3': None}
2023-05-18 00:05:45,435 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.275, 'light': 0.0, 'temperature': 30.04, 'humidity': 86.127, 'waterTemperature': 22.05, 'timestamp': '2023-05-17 22:16:48'}, '养鱼3': None}
2023-05-18 00:05:45,435 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.713, 'light': 0.0, 'temperature': 30.08, 'humidity': 86.065, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:17:18'}, '养鱼3': None}
2023-05-18 00:05:45,441 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.723, 'light': 0.0, 'temperature': 30.077, 'humidity': 85.973, 'waterTemperature': 19.587, 'timestamp': '2023-05-17 22:17:48'}, '养鱼3': None}
2023-05-18 00:05:45,442 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.568, 'light': 0.0, 'temperature': 30.078, 'humidity': 85.96, 'waterTemperature': 22.035, 'timestamp': '2023-05-17 22:18:18'}, '养鱼3': None}
2023-05-18 00:05:45,442 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 19.489, 'light': 0.0, 'temperature': 30.089, 'humidity': 85.917, 'waterTemperature': 25.183, 'timestamp': '2023-05-17 22:18:48'}, '养鱼3': None}
2023-05-18 00:05:45,442 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 30.1, 'humidity': 85.868, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:19:18'}, '养鱼3': None}
2023-05-18 00:05:45,442 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.733, 'light': 0.0, 'temperature': 30.103, 'humidity': 85.823, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 22:19:48'}, '养鱼3': None}
2023-05-18 00:05:45,447 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.985, 'light': 0.0, 'temperature': 30.14, 'humidity': 85.757, 'waterTemperature': 22.017, 'timestamp': '2023-05-17 22:20:18'}, '养鱼3': None}
2023-05-18 00:05:45,447 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.228, 'light': 0.0, 'temperature': 30.15, 'humidity': 85.708, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:20:48'}, '养鱼3': None}
2023-05-18 00:05:45,448 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.192, 'light': 0.0, 'temperature': 30.166, 'humidity': 85.706, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:18'}, '养鱼3': None}
2023-05-18 00:05:45,448 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 30.202, 'humidity': 85.632, 'waterTemperature': 23.49, 'timestamp': '2023-05-17 22:21:48'}, '养鱼3': None}
