2023-05-17 22:50:19,400 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:50:19,575 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:07,866 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:51:08,030 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:12,794 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.148, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.228, 'waterTemperature': 24.425, 'timestamp': '2023-05-17 21:54:18'}, '养鱼3': None}
2023-05-17 22:51:12,794 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.26, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.27, 'waterTemperature': 23.412, 'timestamp': '2023-05-17 21:54:48'}, '养鱼3': None}
2023-05-17 22:51:12,795 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.387, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.28, 'waterTemperature': 24.385, 'timestamp': '2023-05-17 21:55:18'}, '养鱼3': None}
2023-05-17 22:51:12,795 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.535, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.317, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:55:48'}, '养鱼3': None}
2023-05-17 22:51:12,805 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.59, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.343, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:56:18'}, '养鱼3': None}
2023-05-17 22:51:12,805 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.05, 'light': 0.0, 'temperature': 29.293, 'humidity': 88.38, 'waterTemperature': 24.448, 'timestamp': '2023-05-17 21:56:48'}, '养鱼3': None}
2023-05-17 22:51:12,805 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.246, 'light': 0.0, 'temperature': 29.302, 'humidity': 88.384, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:57:18'}, '养鱼3': None}
2023-05-17 22:51:12,806 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.113, 'light': 0.0, 'temperature': 29.29, 'humidity': 88.393, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 21:57:48'}, '养鱼3': None}
2023-05-17 22:51:12,806 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.46, 'light': 0.0, 'temperature': 29.32, 'humidity': 88.41, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:58:18'}, '养鱼3': None}
2023-05-17 22:51:12,813 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.982, 'light': 0.0, 'temperature': 29.343, 'humidity': 88.368, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:58:48'}, '养鱼3': None}
2023-05-17 22:51:12,814 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.422, 'humidity': 88.346, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 21:59:18'}, '养鱼3': None}
2023-05-17 22:51:12,814 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 25.142, 'light': 0.0, 'temperature': 29.41, 'humidity': 88.287, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:59:48'}, '养鱼3': None}
2023-05-17 22:51:12,814 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.814, 'light': 0.0, 'temperature': 29.38, 'humidity': 88.306, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:0:18'}, '养鱼3': None}
2023-05-17 22:51:12,814 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.39, 'humidity': 88.274, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:0:48'}, '养鱼3': None}
